created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed May 01 14:36:44 +0000 2024,1785679755821666714,@antoarief yea because of that i can't listen to the whole Hump Back discography FUCK SAKE I WANT TO SUPPORT THEM BUT I DONT HAVE MONEY + BEA CUKAI TAI,0,0,1,0,en,1111970476098641920,1785579776151068792,ALDES7A,https://twitter.com/ALDES7A/status/1785679755821666714
Wed May 01 06:31:55 +0000 2024,1785557746538143832,Ready for head²head w/ beacukai https://t.co/3rSatlwzqE,0,1,1,0,en,1691630625483362304,1785557746538143832,zulkisamkedua,https://twitter.com/zulkisamkedua/status/1785557746538143832
Wed May 01 05:37:22 +0000 2024,1785544019373891942,The Corruption Eradication Commission (KPK) to have to examine customs bea cukai😭😭 The tax period is really big if you only shop from abroad where the price is even cheaper than the tax required😭😭,0,0,0,0,en,1675092857387126785,1785544019373891942,melovesatp,https://twitter.com/melovesatp/status/1785544019373891942
Wed May 01 05:24:41 +0000 2024,1785540827902779831,"twt been crazy as hell bro whats goin on?? the purge on that kipk thing, bea cukai fucked up, then this wotubir",0,0,0,0,en,3270748357,1785540827902779831,DOPLGVNGR,https://twitter.com/DOPLGVNGR/status/1785540827902779831
Wed May 01 04:57:11 +0000 2024,1785533906533659120,"@Garan_Original Honestly, if you sell them i want to buy it. But i remembered Bea Cukai (the government department that collects taxes paid on goods coming into a country) nowadays is not really well :)",0,1,0,1,en,1247932773500768257,1785339789467902274,ichibankaze,https://twitter.com/ichibankaze/status/1785533906533659120
Wed May 01 04:55:12 +0000 2024,1785533407390482697,Bea cukai downfall P1 we will be there watching on the grandstand!!,0,0,0,1,en,1733986736047529984,1785533407390482697,SkuderiaShitbox,https://twitter.com/SkuderiaShitbox/status/1785533407390482697
Wed May 01 02:34:17 +0000 2024,1785497942138470500,@remotivi KPI clearly misses being the target of the country’s bad wishes and curses in 2024 after Bea Cukai steals all the spotlight recently.,0,0,2,12,en,16442394,1784849349396279372,Matarael,https://twitter.com/Matarael/status/1785497942138470500
Wed May 01 00:18:04 +0000 2024,1785463664151241176,Bea cukai is the organization that almost no one needed but it exists for some reason (y buat batasin barang impor sih but the rules are unnecessary),0,0,0,1,en,1349333820521082881,1785463664151241176,iwearamicrowave,https://twitter.com/iwearamicrowave/status/1785463664151241176
Tue Apr 30 18:47:00 +0000 2024,1785380348400169457,bea cukai being absolutely horrendous as usual,0,0,0,0,en,954556310,1785380348400169457,kmemesakii,https://twitter.com/kmemesakii/status/1785380348400169457
Tue Apr 30 18:43:47 +0000 2024,1785379539830690289,#zkLink #Pioneer https://t.co/cOTIPLMSlf  boom @beacukai_batam @infosurabaya @tarpauliin,0,0,0,0,en,1297973833127743489,1785379539830690289,fourluzz,https://twitter.com/fourluzz/status/1785379539830690289
